 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,443,5088.156,3382,6816,2254053.000,2254053.000
2,290,4619.883,3409,6133,1339766.000,1339766.000
3,361,4412.784,3383,5794,1593015.000,1593015.000
4,466,4382.142,3382,5724,2042078.000,2042078.000
5,306,4510.882,3386,5891,1380330.000,1380330.000
6,273,4430.194,3389,5749,1209443.000,1209443.000
7,296,4181.993,3382,5296,1237870.000,1237870.000
8,273,6064.286,3384,8467,1655550.000,1655550.000
9,330,4862.188,3392,6202,1604522.000,1604522.000
10,293,4494.939,3416,6183,1317017.000,1317017.000
11,343,4498.510,3391,5672,1542989.000,1542989.000
12,259,3839.039,3385,5058,994311.000,994311.000
13,292,4224.247,3394,5295,1233480.000,1233480.000
14,287,3942.700,3391,4661,1131555.000,1131555.000
15,349,4078.968,3382,5266,1423560.000,1423560.000
16,390,4105.772,3384,5346,1601251.000,1601251.000
17,340,4505.462,3397,5513,1531857.000,1531857.000
18,320,4582.556,3393,5983,1466418.000,1466418.000
19,343,4770.362,3392,6624,1636234.000,1636234.000
20,298,4334.510,3384,5393,1291684.000,1291684.000
21,363,4735.433,3382,6502,1718962.000,1718962.000
22,267,4146.569,3382,5097,1107134.000,1107134.000
23,376,4569.388,3396,5912,1718090.000,1718090.000
24,488,8317.219,3391,14583,4058803.000,4058803.000
25,355,4710.524,3386,6531,1672236.000,1672236.000
26,433,5075.048,3385,6989,2197496.000,2197496.000
27,303,4219.046,3385,5172,1278371.000,1278371.000
28,347,4283.268,3388,5170,1486294.000,1486294.000
29,352,4830.378,3382,6525,1700293.000,1700293.000
30,487,4937.337,3396,7033,2404483.000,2404483.000
31,295,4478.603,3389,5624,1321188.000,1321188.000
32,294,4273.680,3383,5229,1256462.000,1256462.000
33,333,4341.670,3385,5602,1445776.000,1445776.000
34,259,4782.023,3383,7241,1238544.000,1238544.000
35,278,6641.496,3470,10128,1846336.000,1846336.000
36,308,4159.500,3391,5360,1281126.000,1281126.000
37,347,4123.006,3382,5144,1430683.000,1430683.000
38,356,5069.699,3384,6915,1804813.000,1804813.000
39,351,4171.923,3392,5436,1464345.000,1464345.000
40,341,4059.217,3383,5007,1384193.000,1384193.000
41,221,3910.905,3385,4976,864310.000,864310.000
42,299,4218.722,3383,5222,1261398.000,1261398.000
43,461,4930.902,3407,6473,2273146.000,2273146.000
44,494,5063.721,3390,7505,2501478.000,2501478.000
45,354,4534.545,3383,5780,1605229.000,1605229.000
46,291,4941.086,3384,6651,1437856.000,1437856.000
47,356,4549.101,3387,5908,1619480.000,1619480.000
48,409,4004.787,3386,4944,1637958.000,1637958.000
49,296,5991.956,3388,8402,1773619.000,1773619.000
50,275,3825.185,3382,4580,1051926.000,1051926.000
51,354,4400.220,3383,5908,1557678.000,1557678.000
52,375,4650.827,3410,6224,1744060.000,1744060.000
53,356,5204.289,3409,7204,1852727.000,1852727.000
54,421,5620.444,3390,7321,2366207.000,2366207.000
55,399,4334.145,3383,5553,1729324.000,1729324.000
56,454,5155.857,3390,6662,2340759.000,2340759.000
57,335,5944.448,3420,8046,1991390.000,1991390.000
58,321,5414.819,3440,7168,1738157.000,1738157.000
59,403,4587.521,3407,5876,1848771.000,1848771.000
60,236,5275.610,3427,7973,1245044.000,1245044.000
61,342,5437.266,3387,6973,1859545.000,1859545.000
62,325,4273.674,3412,5327,1388944.000,1388944.000
63,385,5553.431,3387,7513,2138071.000,2138071.000
64,307,5150.805,3429,6851,1581297.000,1581297.000
65,288,4314.656,3388,6052,1242621.000,1242621.000
66,346,4779.578,3390,6582,1653734.000,1653734.000
67,477,5646.623,3397,8142,2693439.000,2693439.000
68,357,4865.471,3398,6328,1736973.000,1736973.000
69,284,4103.465,3386,5358,1165384.000,1165384.000
70,241,4341.087,3405,5493,1046202.000,1046202.000
71,436,5415.087,3395,6991,2360978.000,2360978.000
72,340,4152.735,3386,5067,1411930.000,1411930.000
73,314,5788.029,3404,7765,1817441.000,1817441.000
74,334,4203.751,3393,5583,1404053.000,1404053.000
75,356,4331.225,3384,5529,1541916.000,1541916.000
76,302,4201.467,3382,5216,1268843.000,1268843.000
77,425,4068.911,3385,5300,1729287.000,1729287.000
78,259,6915.737,3388,9837,1791176.000,1791176.000
79,372,4864.172,3393,6751,1809472.000,1809472.000
80,421,5523.948,3386,7197,2325582.000,2325582.000
81,472,5582.752,3402,7628,2635059.000,2635059.000
82,256,4225.492,3387,5185,1081726.000,1081726.000
83,204,3880.172,3392,4602,791555.000,791555.000
84,377,4813.005,3395,6653,1814503.000,1814503.000
85,277,4375.022,3382,5423,1211881.000,1211881.000
86,337,5366.884,3407,7672,1808640.000,1808640.000
87,241,3995.017,3400,4903,962799.000,962799.000
88,316,4653.354,3384,6035,1470460.000,1470460.000
89,316,5719.022,3434,8380,1807211.000,1807211.000
90,472,5903.642,3468,7876,2786519.000,2786519.000
91,354,4719.650,3384,6228,1670756.000,1670756.000
92,389,4768.134,3411,6163,1854804.000,1854804.000
93,191,3713.990,3385,4270,709372.000,709372.000
94,375,4849.819,3387,6575,1818682.000,1818682.000
95,334,4237.491,3383,5453,1415322.000,1415322.000
96,280,4426.675,3393,5838,1239469.000,1239469.000
97,437,4416.838,3385,5630,1930158.000,1930158.000
98,358,6217.849,3400,9113,2225990.000,2225990.000
99,391,4328.205,3391,5213,1692328.000,1692328.000
100,273,4835.377,3396,5924,1320058.000,1320058.000
101,318,5476.374,3405,7928,1741487.000,1741487.000
102,462,5703.489,3397,8146,2635012.000,2635012.000
103,400,5739.408,3391,7755,2295763.000,2295763.000
104,409,5396.873,3386,7081,2207321.000,2207321.000
105,381,4624.635,3390,6004,1761986.000,1761986.000
106,360,4855.756,3390,6383,1748072.000,1748072.000
107,244,4487.545,3385,6289,1094961.000,1094961.000
108,387,5159.537,3392,7561,1996741.000,1996741.000
109,318,4515.075,3401,6313,1435794.000,1435794.000
110,410,4720.441,3383,6451,1935381.000,1935381.000
111,357,4218.711,3383,5669,1506080.000,1506080.000
112,237,4052.046,3385,4949,960335.000,960335.000
113,253,4620.447,3402,5773,1168973.000,1168973.000
114,260,4153.935,3391,4926,1080023.000,1080023.000
115,403,4659.238,3396,5942,1877673.000,1877673.000
116,337,5898.131,3404,8543,1987670.000,1987670.000
117,376,5185.585,3389,6654,1949780.000,1949780.000
118,268,4493.601,3383,5859,1204285.000,1204285.000
119,429,4359.056,3382,6062,1870035.000,1870035.000
